gene,LR_stat,pvalue,padj
ENSG00000105656,27.763016071383184,1.3712252631970454e-07,7.841566381166575e-07
ENSG00000099901,27.760643208960257,1.3729081461046733e-07,7.849809902886108e-07
ENSG00000085231,27.75332435402443,1.378111877661952e-07,7.878177972459484e-07
ENSG00000174365,27.743314898934685,1.3852606521412369e-07,7.917653238829052e-07
ENSG00000268565,27.727807322744724,1.3964096571442222e-07,7.979974498268211e-07
ENSG00000069431,27.71226147912183,1.4076764332834484e-07,8.042946760935403e-07
ENSG00000287271,27.69871176158563,1.4175708074871425e-07,8.098056877058993e-07
ENSG00000135823,27.691020677473542,1.4232180246768328e-07,8.128889462335785e-07
ENSG00000178980,27.688391740292907,1.4251535008449326e-07,8.135657741702456e-07
ENSG00000156500,27.688835833216203,1.4248263656855998e-07,8.135657741702456e-07
ENSG00000286004,27.68854176143982,1.425042981339593e-07,8.135657741702456e-07
ENSG00000152953,27.68604806937122,1.4268811821635412e-07,8.144090875100507e-07
ENSG00000225914,27.683181641958154,1.4289970769995207e-07,8.154736434142554e-07
ENSG00000169696,27.679461379780296,1.4317479318694507e-07,8.169001094782154e-07
ENSG00000181218,27.660991578468774,1.4454837413008236e-07,8.245925668231079e-07
ENSG00000027697,27.657875699395486,1.447813974390271e-07,8.256322299687952e-07
ENSG00000273983,27.658135341756036,1.44761965524276e-07,8.256322299687952e-07
ENSG00000205771,27.642174165555623,1.4596138914782191e-07,8.322153397379846e-07
ENSG00000188263,27.62577476988082,1.4720411757117954e-07,8.391537794303069e-07
ENSG00000109686,27.625297068680666,1.4724047575145808e-07,8.392139418837925e-07
ENSG00000258944,27.62064326025164,1.4759515169101248e-07,8.410880538452966e-07
ENSG00000047249,27.619653188956335,1.476707173642357e-07,8.413712456411481e-07
ENSG00000257267,27.61413560466675,1.4809254919606275e-07,8.43626884735392e-07
ENSG00000280434,27.607787534146805,1.4857936774119044e-07,8.462518734989484e-07
ENSG00000126267,27.588528751718655,1.5006611365395954e-07,8.545701537828878e-07
ENSG00000258274,27.58627405803076,1.5024114431881976e-07,8.55417103560339e-07
ENSG00000242829,27.579791479952373,1.507455239690844e-07,8.581386190307304e-07
ENSG00000254693,27.577851911478703,1.50896762450184e-07,8.588492314324263e-07
ENSG00000123473,27.563432325435507,1.5202591225426075e-07,8.651245351413942e-07
ENSG00000186417,27.560486893535284,1.5225759866617607e-07,8.662913967497163e-07
ENSG00000092148,27.557071135235464,1.5252672391340176e-07,8.676708265019507e-07
ENSG00000158402,27.55572080206311,1.5263324717313865e-07,8.681249500812898e-07
ENSG00000100302,27.553081090704186,1.5284170053929935e-07,8.691585565551834e-07
ENSG00000113761,27.54928574358396,1.5314191253762797e-07,8.707135104106184e-07
ENSG00000147457,27.53901242351978,1.5395750037479606e-07,8.751976625046526e-07
ENSG00000259295,27.537400713756533,1.5408584672154358e-07,8.757741885840686e-07
ENSG00000162402,27.5215809507362,1.553513380968869e-07,8.828125489405828e-07
ENSG00000052723,27.519579258546482,1.5551220272110738e-07,8.835723020433009e-07
ENSG00000178295,27.51853733334536,1.555960023792434e-07,8.838940068782102e-07
ENSG00000267855,27.517113780472215,1.557105686362843e-07,8.843903446016833e-07
ENSG00000166548,27.511287459335538,1.561803474731186e-07,8.869036599477498e-07
ENSG00000285994,27.51085281720457,1.5621544974048564e-07,8.869481243819961e-07
ENSG00000165140,27.508716559836703,1.5638809164634588e-07,8.877733490177101e-07
ENSG00000128595,27.49482449710515,1.5751545476534114e-07,8.940170366279973e-07
ENSG00000260349,27.486250142195974,1.5821533855429227e-07,8.978327064147082e-07
ENSG00000096070,27.484236984810188,1.5838011427227134e-07,8.986109693584803e-07
ENSG00000166473,27.481128808476676,1.5863485444196384e-07,8.998993085926301e-07
ENSG00000172738,27.480381625946613,1.5869615328407125e-07,9.000900413506392e-07
ENSG00000163430,27.473268409165684,1.5928091151019121e-07,9.032491375997277e-07
ENSG00000198055,27.472061508821376,1.5938034156796953e-07,9.034979028191572e-07
ENSG00000091536,27.47211149627325,1.5937622213486294e-07,9.034979028191572e-07
ENSG00000143621,27.46171056301882,1.6023565912994617e-07,9.081882374039925e-07
ENSG00000110011,27.459434642454305,1.6042433867526037e-07,9.090992058541241e-07
ENSG00000189171,27.457904127969478,1.6055134737798962e-07,9.096604389245607e-07
ENSG00000243650,27.455345481896078,1.607638999755991e-07,9.107060712430646e-07
ENSG00000172939,27.45234540752464,1.610134822548994e-07,9.119610710368928e-07
ENSG00000070214,27.4461945876884,1.615263963227605e-07,9.14706853771342e-07
ENSG00000145681,27.439604583022255,1.6207775101197773e-07,9.176693277178865e-07
ENSG00000124233,27.430544533495077,1.6283884312144534e-07,9.21818077631966e-07
