gene,module
ENSG00000099958,1
ENSG00000161405,8
ENSG00000135519,8
ENSG00000259295,8
ENSG00000131401,8
ENSG00000263934,8
ENSG00000181126,8
ENSG00000154358,8
ENSG00000143545,8
ENSG00000130255,8
ENSG00000233974,8
ENSG00000123689,4
ENSG00000272196,4
ENSG00000185880,1
ENSG00000130844,8
ENSG00000165272,1
ENSG00000274173,1
ENSG00000140280,1
ENSG00000205336,8
ENSG00000198821,8
ENSG00000127152,8
ENSG00000010610,8
ENSG00000059378,1
ENSG00000150337,1
ENSG00000175344,8
ENSG00000279595,8
ENSG00000242550,8
ENSG00000165029,1
ENSG00000071655,8
ENSG00000288349,8
ENSG00000204677,8
ENSG00000070404,8
ENSG00000161911,8
ENSG00000127528,8
ENSG00000153283,8
ENSG00000102760,8
ENSG00000168264,8
ENSG00000198242,8
ENSG00000069702,8
ENSG00000239855,1
ENSG00000124614,8
ENSG00000185101,8
ENSG00000227507,8
ENSG00000159958,8
ENSG00000176788,4
ENSG00000150681,1
ENSG00000117602,8
ENSG00000280064,8
ENSG00000183688,8
ENSG00000078081,1
ENSG00000105374,8
ENSG00000181215,8
ENSG00000180739,8
ENSG00000116663,1
ENSG00000230202,8
ENSG00000186487,8
ENSG00000211967,1
ENSG00000159674,8
ENSG00000182578,8
ENSG00000233750,8
ENSG00000215182,8
ENSG00000148572,1
ENSG00000166947,8
ENSG00000279423,8
ENSG00000286215,8
ENSG00000261552,8
ENSG00000055483,8
ENSG00000186854,8
ENSG00000136942,8
ENSG00000227115,8
ENSG00000155307,1
ENSG00000164061,8
ENSG00000180871,1
ENSG00000213934,8
ENSG00000157103,8
ENSG00000196329,8
ENSG00000280434,8
ENSG00000104852,8
ENSG00000008516,4
ENSG00000100385,8
ENSG00000167900,8
ENSG00000165929,8
ENSG00000211639,1
ENSG00000101421,8
ENSG00000221869,4
ENSG00000197540,8
ENSG00000134539,8
ENSG00000245164,8
ENSG00000257524,8
ENSG00000166441,8
ENSG00000223865,8
ENSG00000154146,8
ENSG00000186174,8
ENSG00000280356,8
ENSG00000184613,8
ENSG00000100721,8
ENSG00000269968,8
ENSG00000090382,8
ENSG00000276566,1
ENSG00000274419,8
ENSG00000099860,4
ENSG00000204420,8
ENSG00000139626,8
ENSG00000075399,4
ENSG00000265118,1
ENSG00000206195,8
ENSG00000279080,8
ENSG00000265206,8
ENSG00000274422,8
ENSG00000140015,8
ENSG00000234426,4
ENSG00000173366,3
ENSG00000023902,8
ENSG00000259884,8
ENSG00000187391,8
ENSG00000069399,4
ENSG00000274272,8
ENSG00000180096,8
ENSG00000215386,8
ENSG00000162894,8
ENSG00000267174,4
ENSG00000148926,1
ENSG00000088247,8
ENSG00000110046,8
ENSG00000148053,8
ENSG00000249173,1
ENSG00000247081,8
ENSG00000251634,8
ENSG00000027869,8
ENSG00000109475,8
ENSG00000255398,1
ENSG00000204287,8
ENSG00000244306,8
ENSG00000284669,8
ENSG00000189223,8
ENSG00000182774,8
ENSG00000279712,8
ENSG00000138035,1
ENSG00000139187,8
ENSG00000135424,4
ENSG00000225630,8
ENSG00000197550,8
ENSG00000124762,8
ENSG00000163421,1
ENSG00000183625,1
ENSG00000055332,1
ENSG00000163739,1
ENSG00000204839,8
ENSG00000196405,8
ENSG00000262094,8
ENSG00000139193,1
ENSG00000134809,1
ENSG00000101638,8
ENSG00000186468,8
ENSG00000204388,1
ENSG00000259600,4
ENSG00000197728,8
ENSG00000148175,8
ENSG00000141232,1
ENSG00000277150,8
ENSG00000142541,8
ENSG00000124181,8
ENSG00000121316,1
ENSG00000089157,8
ENSG00000118922,8
ENSG00000085733,8
ENSG00000111678,8
ENSG00000162783,8
ENSG00000276710,8
ENSG00000112139,8
ENSG00000284820,8
ENSG00000235257,8
ENSG00000211973,1
ENSG00000177954,8
ENSG00000188933,8
ENSG00000165300,8
ENSG00000145113,8
ENSG00000224924,8
ENSG00000221963,1
ENSG00000213626,8
ENSG00000198840,8
ENSG00000163519,8
ENSG00000214425,8
ENSG00000141576,8
ENSG00000184292,8
ENSG00000181036,8
ENSG00000116251,8
ENSG00000103257,8
ENSG00000173198,1
ENSG00000155090,8
ENSG00000117983,8
ENSG00000101096,8
ENSG00000136717,8
ENSG00000166920,4
ENSG00000152518,8
ENSG00000173442,8
ENSG00000196116,1
ENSG00000166473,8
ENSG00000169245,1
ENSG00000265531,1
ENSG00000231389,8
ENSG00000182389,8
ENSG00000105472,8
ENSG00000258643,8
ENSG00000185339,8
ENSG00000113303,1
ENSG00000222036,8
ENSG00000211685,1
ENSG00000282988,1
ENSG00000063177,8
ENSG00000196220,8
ENSG00000033122,8
ENSG00000078295,8
ENSG00000198034,8
ENSG00000141664,1
ENSG00000249138,4
ENSG00000236539,8
ENSG00000164120,4
ENSG00000184261,8
ENSG00000142178,8
ENSG00000229833,8
ENSG00000099998,8
ENSG00000078596,8
ENSG00000256249,4
ENSG00000175265,8
ENSG00000134107,8
ENSG00000237187,8
ENSG00000273540,8
ENSG00000285976,1
ENSG00000215030,8
ENSG00000185823,8
ENSG00000182899,8
ENSG00000257315,1
ENSG00000238035,4
ENSG00000092445,8
ENSG00000133169,8
ENSG00000111796,8
ENSG00000198899,8
ENSG00000123243,8
ENSG00000129911,8
ENSG00000105202,8
ENSG00000170989,8
ENSG00000187720,8
ENSG00000030419,8
ENSG00000211655,1
ENSG00000167536,1
ENSG00000231500,8
ENSG00000232044,8
ENSG00000256422,8
ENSG00000259341,8
ENSG00000275793,8
ENSG00000177301,8
ENSG00000125995,8
ENSG00000229754,1
ENSG00000155660,1
ENSG00000108984,1
ENSG00000099204,8
ENSG00000152766,1
ENSG00000144802,4
ENSG00000152104,8
ENSG00000261026,8
ENSG00000140932,4
ENSG00000123836,1
ENSG00000170581,1
ENSG00000133561,1
ENSG00000168631,8
ENSG00000251230,1
ENSG00000101335,8
ENSG00000092067,8
ENSG00000285565,1
ENSG00000205903,8
ENSG00000267645,8
ENSG00000263020,8
ENSG00000280180,8
ENSG00000142937,8
ENSG00000117010,1
ENSG00000008988,8
ENSG00000178722,8
ENSG00000255248,8
ENSG00000277399,8
ENSG00000106211,8
ENSG00000118257,8
ENSG00000279110,8
ENSG00000082146,8
ENSG00000130589,1
ENSG00000179715,8
ENSG00000149798,1
ENSG00000278803,8
ENSG00000125430,4
ENSG00000167470,8
ENSG00000176170,8
ENSG00000170525,4
ENSG00000183762,1
ENSG00000211625,1
ENSG00000279484,8
ENSG00000104885,8
ENSG00000154529,8
ENSG00000103056,8
ENSG00000184640,8
ENSG00000105722,8
ENSG00000164904,8
ENSG00000104814,8
ENSG00000135929,3
ENSG00000149452,8
ENSG00000109321,4
ENSG00000198814,1
ENSG00000284874,8
ENSG00000164398,8
ENSG00000169020,8
ENSG00000203930,8
ENSG00000287979,3
ENSG00000233183,8
ENSG00000086506,8
ENSG00000071575,8
ENSG00000256007,8
ENSG00000286125,8
ENSG00000179240,8
ENSG00000187147,8
ENSG00000111716,8
ENSG00000182871,8
ENSG00000278920,8
ENSG00000237975,8
ENSG00000280038,8
ENSG00000142408,8
ENSG00000198755,8
ENSG00000267322,8
ENSG00000258227,1
ENSG00000114739,8
ENSG00000137491,8
ENSG00000151834,8
ENSG00000156966,8
ENSG00000148344,8
ENSG00000197702,8
ENSG00000206579,8
ENSG00000147872,4
ENSG00000267607,8
ENSG00000154380,8
ENSG00000185950,8
ENSG00000137103,8
ENSG00000112759,8
ENSG00000160856,8
ENSG00000260914,1
ENSG00000163464,1
ENSG00000138670,8
ENSG00000127920,8
ENSG00000107281,8
ENSG00000237125,8
ENSG00000224940,8
ENSG00000123933,8
ENSG00000177700,8
ENSG00000116871,8
ENSG00000228793,8
ENSG00000087074,4
ENSG00000170439,4
ENSG00000163531,8
ENSG00000260417,8
ENSG00000172673,8
ENSG00000143947,8
ENSG00000204849,8
ENSG00000172379,8
ENSG00000198286,8
ENSG00000179583,8
ENSG00000211942,1
ENSG00000285508,8
ENSG00000141837,8
ENSG00000164483,8
ENSG00000167543,8
ENSG00000259924,4
ENSG00000231799,1
ENSG00000183775,8
ENSG00000160307,1
ENSG00000138496,1
ENSG00000178719,4
ENSG00000287733,4
ENSG00000105220,8
ENSG00000279217,8
ENSG00000091536,8
ENSG00000151338,8
ENSG00000170801,8
ENSG00000112182,8
ENSG00000139832,4
ENSG00000168056,8
ENSG00000126262,1
ENSG00000181381,1
ENSG00000226777,8
ENSG00000196735,8
ENSG00000153292,8
ENSG00000146232,8
ENSG00000240342,8
ENSG00000130303,1
ENSG00000286279,8
ENSG00000131584,8
ENSG00000280383,8
ENSG00000139364,8
ENSG00000225746,8
ENSG00000288187,8
ENSG00000141293,8
ENSG00000261272,8
ENSG00000277128,8
ENSG00000105640,8
ENSG00000287387,8
ENSG00000034510,8
ENSG00000158089,1
ENSG00000173338,8
ENSG00000122406,8
ENSG00000165323,8
ENSG00000116649,8
ENSG00000164054,1
ENSG00000270757,1
ENSG00000170667,8
ENSG00000285534,1
ENSG00000276040,8
ENSG00000186868,8
ENSG00000160180,8
ENSG00000151743,1
ENSG00000245105,8
ENSG00000120875,8
ENSG00000273507,8
ENSG00000035720,1
ENSG00000135116,8
ENSG00000157423,8
ENSG00000272168,8
ENSG00000156738,8
ENSG00000100433,8
ENSG00000231527,8
ENSG00000176083,8
ENSG00000215378,8
ENSG00000133069,8
ENSG00000184557,4
ENSG00000269145,8
ENSG00000138031,4
ENSG00000280987,2
ENSG00000178562,8
ENSG00000157551,1
ENSG00000152931,8
ENSG00000283537,8
ENSG00000089685,8
ENSG00000121236,1
ENSG00000159173,8
ENSG00000133477,8
ENSG00000161103,8
ENSG00000113327,8
ENSG00000146828,8
ENSG00000185896,8
ENSG00000196119,8
ENSG00000160201,8
ENSG00000167034,1
ENSG00000173369,8
ENSG00000183486,1
ENSG00000090006,8
ENSG00000196954,1
ENSG00000119547,8
ENSG00000163600,8
ENSG00000113262,8
ENSG00000281162,1
ENSG00000181625,8
ENSG00000247982,8
ENSG00000004468,1
ENSG00000176845,8
ENSG00000128655,8
ENSG00000206190,8
ENSG00000028277,8
ENSG00000197471,8
ENSG00000026950,1
ENSG00000130766,4
ENSG00000188404,1
ENSG00000168916,1
ENSG00000099194,8
ENSG00000140675,8
ENSG00000251158,8
ENSG00000202198,8
ENSG00000127241,8
ENSG00000176973,8
ENSG00000267075,8
ENSG00000245526,8
ENSG00000165868,8
ENSG00000073756,1
ENSG00000125510,1
ENSG00000179271,8
ENSG00000173846,8
ENSG00000184144,8
ENSG00000227766,1
ENSG00000174944,1
ENSG00000109339,8
ENSG00000261641,8
ENSG00000239445,8
ENSG00000070190,1
ENSG00000135924,8
ENSG00000254101,8
ENSG00000275395,8
ENSG00000109832,8
ENSG00000172061,8
ENSG00000136531,8
ENSG00000155252,8
ENSG00000090238,8
ENSG00000174171,8
ENSG00000106003,8
ENSG00000185022,4
ENSG00000242593,8
ENSG00000163874,4
ENSG00000197428,8
ENSG00000171791,8
ENSG00000128335,1
ENSG00000283646,8
ENSG00000135426,8
ENSG00000174007,1
ENSG00000206341,1
ENSG00000185666,8
ENSG00000157193,8
ENSG00000166562,1
