Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,organic hydroxy compound biosynthetic process (GO:1901617),1/50,0.8116726472466981,0.901976541246658,0,0,0.6011839850443994,0.1254419464792068,PRKAG2
GO_Biological_Process_2021,chloride transmembrane transport (GO:1902476),1/50,0.8116726472466981,0.901976541246658,0,0,0.6011839850443994,0.1254419464792068,APOL1
GO_Biological_Process_2021,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),1/50,0.8116726472466981,0.901976541246658,0,0,0.6011839850443994,0.1254419464792068,NEDD9
GO_Biological_Process_2021,regulation of cellular component movement (GO:0051270),1/50,0.8116726472466981,0.901976541246658,0,0,0.6011839850443994,0.1254419464792068,SP100
GO_Biological_Process_2021,regulation of heart contraction (GO:0008016),2/93,0.8138421374933306,0.903598920747826,0,0,0.6470074268239406,0.1332763261907585,TMIGD3;CALM2
GO_Biological_Process_2021,positive regulation of peptidyl-serine phosphorylation (GO:0033138),2/93,0.8138421374933306,0.903598920747826,0,0,0.6470074268239406,0.1332763261907585,TRIM6;PAK1
GO_Biological_Process_2021,mitotic nuclear membrane reassembly (GO:0007084),1/51,0.8178652130892338,0.9053032150101168,0,0,0.5891297709923664,0.1184490956865842,KPNB1
GO_Biological_Process_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),4/171,0.8161909130581488,0.9053032150101168,0,0,0.704492854781235,0.1430874227192643,TUT7;XRN1;RC3H1;PELO
GO_Biological_Process_2021,regulation of axonogenesis (GO:0050770),1/51,0.8178652130892338,0.9053032150101168,0,0,0.5891297709923664,0.1184490956865842,PAK1
GO_Biological_Process_2021,DNA duplex unwinding (GO:0032508),1/51,0.8178652130892338,0.9053032150101168,0,0,0.5891297709923664,0.1184490956865842,GTF2H2
GO_Biological_Process_2021,sensory perception (GO:0007600),1/51,0.8178652130892338,0.9053032150101168,0,0,0.5891297709923664,0.1184490956865842,CCR2
GO_Biological_Process_2021,mitotic nuclear membrane organization (GO:0101024),1/51,0.8178652130892338,0.9053032150101168,0,0,0.5891297709923664,0.1184490956865842,KPNB1
GO_Biological_Process_2021,positive regulation of actin filament bundle assembly (GO:0032233),1/51,0.8178652130892338,0.9053032150101168,0,0,0.5891297709923664,0.1184490956865842,PAK1
GO_Biological_Process_2021,negative regulation of cell death (GO:0060548),2/94,0.8184979954309979,0.9056100757440276,0,0,0.6399414971413376,0.1281702547942738,BTBD10;HSPA1A
GO_Biological_Process_2021,positive regulation of ERK1 and ERK2 cascade (GO:0070374),4/172,0.8196889759908457,0.906534008618621,0,0,0.7002629272567923,0.1392334936807621,CCR1;PTK2B;LGALS9;FPR2
GO_Biological_Process_2021,negative regulation of protein-containing complex assembly (GO:0031333),1/52,0.8238544533855621,0.9087731887280324,0,0,0.5775482712168837,0.1119065609720114,MEFV
GO_Biological_Process_2021,regulation of intrinsic apoptotic signaling pathway (GO:2001242),1/52,0.8238544533855621,0.9087731887280324,0,0,0.5775482712168837,0.1119065609720114,STYXL1
GO_Biological_Process_2021,endocytic recycling (GO:0032456),1/52,0.8238544533855621,0.9087731887280324,0,0,0.5775482712168837,0.1119065609720114,SNX27
GO_Biological_Process_2021,regulation of telomere maintenance via telomerase (GO:0032210),1/52,0.8238544533855621,0.9087731887280324,0,0,0.5775482712168837,0.1119065609720114,XRN1
