gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,significant,direction
101928582,6.976103807705213,-0.1626555668407552,0.600214251397988,-1.2606038068591643,0.20745162640158066,0.40492510191806946,LOC101928582,False,down
101154687,12.877685409726187,-0.24636572749386967,0.40536136843410053,-1.4146872989027761,0.15716019995612546,0.3359204323513813,LINC01081,False,down
400550,1762.4800046228738,-0.38783649904177075,0.1042521530321984,-3.9342276925995803,8.346463367818244e-05,0.0006389323289159399,FENDRR,False,down
2294,2159.3162634219107,0.12228800850814953,0.09775731672394618,1.3325903435186004,0.18266627581798545,0.3715585869834644,FOXF1,False,up
64779,369.6443937659491,-0.3679063518603416,0.13247856482598086,-3.0387439198954405,0.002375666989361477,0.012172646632655198,MTHFSD,False,down
2303,54.16623853207773,0.34104970641908,0.2670344042335991,1.8016033586643956,0.07160783247345043,0.18944934601466476,FOXC2,False,up
2300,742.7482744591964,0.1848560613937111,0.1401442296142125,1.487716693460471,0.1368256232806061,0.30495562950585164,FOXL1,False,up
100506581,52.37273501871857,0.385910400070492,0.26598200527658605,1.9887975355978043,0.04672355491680739,0.13744519045713408,C16orf95,False,up
79791,1558.0878269312782,0.031430348701261254,0.10168957089073065,0.33032310067088694,0.7411558398336267,0.8695132827433888,FBXO31,False,up
81631,4440.3390314703065,0.013372952559797069,0.09376000143468406,0.14982356616926001,0.8809038160997646,0.9442478630374544,MAP1LC3B,False,up
23174,1824.496758413396,-0.18657564360213702,0.10484029837284753,-1.9033314043883893,0.056997315515600666,0.16012912537832946,ZCCHC14,False,down
54758,251.9266948677497,-0.14983820370069234,0.14790787803856997,-1.1669105574434502,0.2432464919337527,0.4489322896074299,KLHDC4,False,down
8140,577.9524103729069,-1.035201584069659,0.39994912033542346,-3.3460342862510104,0.0008197625855130865,0.004838767935654463,SLC7A5,True,down
54971,251.08008379325793,-0.464863815785165,0.16739599125685417,-3.145309812724397,0.0016591102993233028,0.008933710687614425,BANP,False,down
105371401,67.73440364051012,-0.49327931516916845,0.2902953663270301,-2.347841023303616,0.018882578785442992,0.06709267332355486,LOC105371401,False,down
107984862,19.5381920159176,-0.21746308916271648,0.34840641359849406,-1.2265418242648973,0.21999484627864085,0.4211155509176158,LOC107984862,False,down
84627,998.6558438728565,0.016744404892485267,0.15759686215981408,0.12715591130918047,0.8988169997286533,0.952753666807843,ZNF469,False,up
112268182,14.516345588197403,0.07933686183763669,0.38826237551252385,0.514028910484533,0.6072317780392867,0.7804577639753569,LOC112268182,False,up
161882,123.7151974550124,-0.25921164875584785,0.18235751505208375,-1.7120634441129494,0.08688497719828489,0.2190048429243338,ZFPM1,False,down
124245,1059.4542429601327,-0.007268355558690963,0.105184503205366,-0.07589571823837238,0.9395020633868473,0.9728253787314375,ZC3H18,False,down
1535,870.9448773490542,0.1938096177093814,0.10799077032948617,1.932784917653697,0.053262699079919644,0.1519387646429663,CYBA,False,up
