,cluster,membership
ENSG00000178913,5,0.9999999999999853
ENSG00000000457,5,0.9999984772998025
ENSG00000118518,5,0.9999999987713561
ENSG00000185862,0,0.9999999999999962
ENSG00000163512,0,0.9999990970707643
ENSG00000184990,1,0.9711126284354202
ENSG00000176845,1,0.5585379563385313
ENSG00000257802,4,0.9996030837798507
ENSG00000138459,5,0.9999916675257081
ENSG00000053770,5,0.9999979045521126
ENSG00000111653,5,0.9995922883534489
ENSG00000121931,5,0.9999999999966211
ENSG00000267745,0,0.9999999958657242
ENSG00000198520,1,0.6612771373037147
ENSG00000100448,2,0.9642205473276799
ENSG00000152904,5,0.999997721570559
ENSG00000173801,5,0.9999993875229968
ENSG00000159314,5,0.8111403586550506
ENSG00000155313,5,0.7688853190728289
ENSG00000147168,5,0.9999999998644864
ENSG00000185722,0,0.9999999998350293
ENSG00000158406,5,0.9999999951786818
ENSG00000287263,5,0.662595782647203
ENSG00000143545,2,0.9999999998889875
ENSG00000115446,5,0.9999828708984139
ENSG00000084110,0,0.9999999997368143
ENSG00000114439,5,0.9990850501696648
ENSG00000256683,0,0.8876715081426397
ENSG00000100938,0,0.994983544471479
ENSG00000279296,5,0.9998905239070269
ENSG00000128272,4,0.9913936734632893
ENSG00000179044,0,0.9999999934064856
ENSG00000185033,0,0.9999983493788419
ENSG00000178977,0,0.9999682171074422
ENSG00000270562,5,0.9999999999996088
ENSG00000286076,0,0.9998718192155562
ENSG00000124508,5,0.9968791368368322
ENSG00000080802,5,0.9787474216891519
ENSG00000163481,5,0.9999981303346757
ENSG00000069956,3,0.9999999987937875
ENSG00000144677,1,0.9859312491683389
ENSG00000086730,0,0.9999999999978617
ENSG00000133112,2,0.7216665800037569
ENSG00000009790,0,0.99999994629082
ENSG00000182919,0,0.9999999999801705
ENSG00000267680,5,0.9999999957447363
ENSG00000135900,0,0.9999991396920681
ENSG00000198840,2,0.9999980086155317
ENSG00000182179,5,0.9999998189340605
ENSG00000204516,5,0.588883748996899
ENSG00000167065,5,0.9999945405589592
ENSG00000024862,5,0.973438713921543
ENSG00000171155,5,0.9998252098060822
ENSG00000101363,5,0.7328908965310859
ENSG00000158669,4,0.9999999999999991
ENSG00000132819,4,0.9999990638083434
ENSG00000104918,2,0.9998910892964421
ENSG00000155090,3,0.9999941470381813
ENSG00000152684,0,0.9999999997324798
ENSG00000003400,0,0.9999999282371668
ENSG00000028528,0,0.999920709863832
ENSG00000241878,0,0.9999999999971292
ENSG00000163683,5,0.886974403530527
ENSG00000114127,0,0.7118152855855917
ENSG00000204397,0,0.9998799100572721
ENSG00000115339,5,0.8602987976258066
ENSG00000155926,0,0.9990788854632003
ENSG00000188404,0,0.999998524841824
ENSG00000148344,2,0.9994558153599762
ENSG00000155876,5,0.9993748974149026
ENSG00000136938,1,0.9985814046743088
ENSG00000141664,5,0.9999999668778285
ENSG00000159461,3,0.9317834730934101
ENSG00000204264,0,0.9947640652015263
ENSG00000142583,1,0.9891716093234832
ENSG00000121481,5,0.9995434895015626
ENSG00000107099,5,0.9999949757734502
ENSG00000154928,5,0.9903866368236832
ENSG00000011426,4,0.5704978150376983
ENSG00000142039,5,0.9999997538491237
ENSG00000127952,0,0.9999552792225744
ENSG00000102897,0,0.9999999979957597
ENSG00000221963,0,0.6183746957943345
ENSG00000198804,1,0.9999954944680108
ENSG00000156232,4,0.9840550267792401
ENSG00000187954,4,0.9935406719018556
ENSG00000100221,4,0.9999999999999998
ENSG00000233785,0,0.9999536127279246
ENSG00000177666,1,0.9999422873399325
ENSG00000105127,3,0.9999967510775782
ENSG00000285006,0,0.9999998060413245
ENSG00000062194,0,0.99999997351778
ENSG00000239653,0,0.9999991299060059
ENSG00000168404,0,0.9999998457213208
ENSG00000035720,5,0.9999996544837729
ENSG00000010704,0,0.9999913150531701
ENSG00000116815,5,0.9999997525101922
ENSG00000239857,1,0.5240941458953379
ENSG00000265118,0,0.9999999984245078
ENSG00000136504,3,0.9999999998479414
ENSG00000072952,0,0.9999778318001173
ENSG00000133561,0,0.9999612613463721
ENSG00000106089,3,0.9999999999201759
ENSG00000213689,0,0.9999999999999953
ENSG00000171428,0,0.9999959756217021
ENSG00000184216,4,0.9998494388537106
